Name,Breite,L„nge,H”he
172,48.39868,13.45126,346.3
173,48.39868,13.45126,342.6
174,48.39871,13.45119,339.0
175,48.39871,13.45119,331.5
176,48.39874,13.45112,330.4
177,48.39874,13.45112,330.6
178,48.39874,13.45112,330.6
179,48.39875,13.45107,331.1
180,48.39875,13.45107,330.5
181,48.39875,13.45107,330.1
182,48.39874,13.45108,330.7
183,48.39874,13.45108,330.7
184,48.39874,13.45108,330.3
