Time,SatTemp:,SatHumidity:,SatPressure:,SatAccel:,SatGpsNr:,SatLat:,SatLon:,SatGPSAlt:,PacketRssi:,BaseTemp:,BaseHumidity:,BasePressure:,TrackAltAngle:,TrackAziAngle,BaseGpsNr:,BaseLat:,BaseLon:,BaseGPSAlt:
37966,25.6,37.5,973.286,10.19,12.0,48.3991,13.45267,341.7,-111.0,23.8,38.4,974.331,-135.0,0.0,9.0,48.40144,13.44938,324.0
37966,25.6,37.6,973.291,10.205,12.0,48.3991,13.45267,341.7,-113.0,23.8,38.5,974.362,-135.0,0.0,9.0,48.40144,13.44938,324.0
37966,25.6,37.6,973.285,10.183,12.0,48.3991,13.45267,341.6,-114.0,23.9,38.4,974.351,-135.0,0.0,9.0,48.40144,13.44938,323.6
37967,25.6,37.6,973.288,10.111,12.0,48.3991,13.45267,341.6,-112.0,23.8,38.1,974.284,-135.0,0.0,9.0,48.40144,13.44938,323.6
37967,25.6,37.6,973.298,10.19,12.0,48.3991,13.45267,341.6,-114.0,23.7,37.9,974.335,-135.0,0.0,9.0,48.40144,13.44938,323.6
37967,25.6,37.6,973.304,10.161,12.0,48.3991,13.45267,341.6,-115.0,23.6,37.9,974.352,-135.0,0.0,6.0,48.40144,13.44938,322.9
37968,25.6,37.6,973.294,10.183,12.0,48.3991,13.45267,341.6,-114.0,23.6,38.0,974.285,-135.0,0.0,6.0,48.40144,13.44938,322.9
37968,25.6,37.6,973.26,10.176,12.0,48.3991,13.45267,341.6,-114.0,23.6,38.0,974.33,-135.0,0.0,6.0,48.40144,13.44937,322.9
37968,25.6,37.6,973.277,10.177,12.0,48.3991,13.45267,341.6,-113.0,23.6,38.1,974.341,-135.0,0.0,6.0,48.40144,13.44937,322.4
37969,25.6,37.6,973.274,10.11,12.0,48.3991,13.45267,341.6,-111.0,23.6,38.2,974.331,-135.0,0.0,6.0,48.40144,13.44937,322.4
37969,25.6,37.6,973.282,10.139,12.0,48.3991,13.45267,341.6,-116.0,23.6,38.3,974.324,-135.0,0.0,6.0,48.40143,13.44937,322.4
37969,25.6,37.6,973.31,10.11,12.0,48.3991,13.45267,341.5,-112.0,23.6,38.5,974.395,-135.0,0.0,6.0,48.40143,13.44937,322.0
37970,25.6,37.6,973.295,10.162,12.0,48.3991,13.45267,341.5,-110.0,23.6,38.8,974.404,-135.0,0.0,6.0,48.40143,13.44937,322.0
37970,25.6,37.6,973.31,10.161,12.0,48.3991,13.45267,341.5,-110.0,23.6,38.8,974.418,-135.0,0.0,6.0,48.40143,13.44937,322.0
37970,25.6,37.6,973.267,10.176,12.0,48.3991,13.45267,341.4,-110.0,23.6,38.4,974.413,-135.0,0.0,10.0,48.40143,13.44937,321.8
37971,25.6,37.6,973.299,10.176,12.0,48.3991,13.45267,341.4,-110.0,23.5,38.4,974.409,-135.0,0.0,10.0,48.40143,13.44937,321.8
37971,25.6,37.6,973.277,10.154,12.0,48.3991,13.45267,341.4,-111.0,23.4,38.1,974.397,-135.0,0.0,10.0,48.40143,13.44936,321.8
37971,25.6,37.6,973.294,10.176,12.0,48.3991,13.45267,341.2,-111.0,23.4,37.9,974.403,-135.0,0.0,8.0,48.40143,13.44936,321.7
37972,25.6,37.6,973.257,10.227,12.0,48.3991,13.45267,341.2,-110.0,23.3,37.7,974.384,-135.0,0.0,8.0,48.40143,13.44936,321.7
37972,25.6,37.6,973.28,10.212,12.0,48.3991,13.45267,341.2,-109.0,23.3,37.4,974.398,-135.0,0.0,8.0,48.40143,13.44936,321.7
37972,25.6,37.6,973.319,10.22,12.0,48.3991,13.45267,341.2,-109.0,23.2,37.2,974.417,-135.0,0.0,8.0,48.40143,13.44936,321.7
37973,25.6,37.6,973.275,10.183,12.0,48.3991,13.45267,341.2,-109.0,23.1,36.9,974.355,-135.0,0.0,8.0,48.40143,13.44936,321.7
37973,25.6,37.6,973.29,10.096,12.0,48.3991,13.45267,341.2,-109.0,23.1,36.8,974.404,-135.0,0.0,8.0,48.40143,13.44936,321.7
37973,25.6,37.6,973.293,10.103,12.0,48.3991,13.45267,341.3,-109.0,23.0,36.7,974.395,-135.0,0.0,8.0,48.40143,13.44936,321.7
37974,25.6,37.6,973.283,10.1,12.0,48.3991,13.45267,341.3,-109.0,23.0,36.6,974.424,-135.0,0.0,8.0,48.40143,13.44936,321.7
37974,25.6,37.6,973.282,10.141,12.0,48.3991,13.45267,341.3,-109.0,23.0,36.5,974.401,-135.0,0.0,8.0,48.40143,13.44935,321.7
37974,25.6,37.6,973.285,10.155,12.0,48.3991,13.45267,341.3,-110.0,23.0,36.5,974.422,-135.0,0.0,8.0,48.40143,13.44935,321.9
37975,25.6,37.6,973.218,10.252,12.0,48.3991,13.45267,341.3,-111.0,23.0,36.6,974.443,-135.0,0.0,8.0,48.40143,13.44935,321.9
37975,25.6,37.6,973.262,NaN,12.0,NaN,NaN,-11.1,229.0,36.7,97439.1,-1.35,0.0,8.0,4840144.0,13.44935,0.03219,321.9
37975,25.6,37.6,973.278,10.192,12.0,48.3991,13.45267,341.2,-112.0,23.0,36.7,974.348,-135.0,0.0,8.0,48.40144,13.44935,321.9
37976,25.6,37.6,973.284,10.147,12.0,48.3991,13.45267,341.2,-114.0,23.0,36.8,974.368,-135.0,0.0,8.0,48.40144,13.44935,321.9
37976,25.6,37.6,973.237,10.126,12.0,48.3991,13.45267,341.2,-112.0,23.0,36.9,974.354,-135.0,0.0,8.0,48.40144,13.44934,321.9
37976,25.6,37.6,973.259,10.205,12.0,48.3991,13.45267,341.2,-110.0,23.0,37.0,974.388,-135.0,0.0,8.0,48.40144,13.44934,321.9
37977,25.6,37.6,973.293,10.192,12.0,48.3991,13.45267,341.2,-111.0,22.9,37.0,974.364,-135.0,0.0,8.0,48.40144,13.44934,321.9
37977,25.6,37.6,973.305,10.305,12.0,48.3991,13.45267,341.2,-112.0,22.9,37.0,974.355,-135.0,0.0,8.0,48.40144,13.44934,321.9
37977,25.6,37.6,973.296,10.268,12.0,48.3991,13.45267,341.2,-114.0,22.8,37.0,974.368,-135.0,0.0,9.0,48.40144,13.44934,321.8
37978,25.6,37.6,973.242,10.105,12.0,48.3991,13.45267,341.2,-114.0,22.8,37.1,974.365,-135.0,0.0,9.0,48.40144,13.44934,321.8
37978,25.6,37.6,973.277,10.183,12.0,48.3991,13.45267,341.2,-112.0,22.8,37.1,974.397,-135.0,0.0,9.0,48.40144,13.44934,321.8
37978,25.6,37.6,973.31,10.147,12.0,48.3991,13.45267,341.2,-115.0,22.8,37.1,974.387,-135.0,0.0,8.0,48.40144,13.44934,321.4
37979,25.6,37.6,973.281,10.206,12.0,48.3991,13.45267,341.2,-114.0,22.8,37.1,974.345,-135.0,0.0,8.0,48.40144,13.44934,321.4
37979,25.6,37.6,973.308,10.198,12.0,48.3991,13.45267,341.2,-116.0,22.8,37.1,974.368,-135.0,0.0,8.0,48.40145,13.44934,321.4
37979,25.6,37.6,973.308,10.178,12.0,48.3991,13.45267,341.1,-116.0,22.7,37.2,974.34,-135.0,0.0,9.0,48.40145,13.44934,322.0
37980,25.6,37.6,973.269,10.178,12.0,48.3991,13.45267,341.1,-115.0,22.7,37.3,974.375,-135.0,0.0,9.0,48.40145,13.44934,322.0
37980,25.6,37.6,973.278,10.178,12.0,48.3991,13.45267,341.1,-115.0,22.7,37.4,974.38,-135.0,0.0,9.0,48.40145,13.44934,322.0
37980,25.6,37.6,973.256,10.128,12.0,48.3991,13.45267,341.0,-117.0,22.7,37.5,974.34,-135.0,0.0,9.0,48.40145,13.44934,322.2
37981,25.6,37.6,973.267,10.241,12.0,48.3991,13.45267,341.0,-116.0,22.7,37.5,974.33,-135.0,0.0,9.0,48.40145,13.44934,322.2
